Sl.No.,State/UT,Electric,Non-electric
1,Andaman and Nicobar Islands,190,161258
2,Andhra Pradesh,67905,16553509
3,Arunachal Pradesh,28,303673
4,Assam,120423,5312457
5,Bihar,161060,11631081
6,Chandigarh,7964,841172
7,Chhattisgarh,54848,7413951
8,Delhi,233212,13994966
9,Goa,12615,1206476
10,Gujarat,138410,22804558
11,Haryana,69271,12062205
12,Himachal Pradesh,2410,2178827
13,Jammu and Kashmir,10896,2055765
14,Jharkhand,36759,7057289
15,Karnataka,248747,29785247
16,Kerala,98332,16781110
17,Ladakh,65,44430
18,Madhya Pradesh,96151,19616269
19,Maharashtra,305006,34323748
20,Manipur,1203,554994
21,Meghalaya,139,519714
22,Mizoram,118,355369
23,Nagaland,62,418529
24,Odisha,62567,10638175
25,Puducherry,4588,1330320
26,Punjab,35727,13196875
27,Rajasthan,180670,18857703
28,Sikkim,20,109988
29,Tamil Nadu,173152,31618002
30,Tripura,14839,707543
31,Dadra and Nagar Haveli and Daman and Diu,354,374489
32,Uttar Pradesh,574967,43852548
33,Uttarakhand,49491,3647377
34,West Bengal,68376,15227219
Grand Total,Grand Total,2830565,345536836
