Sl. No.,State/UT,2020,2021,2022,2023,Grand Total
1,Andaman and Nicobar Islands,36,92,23,18,169
2,Andhra Pradesh,1654,9738,29450,29546,70388
3,Arunachal Pradesh,5,2,2,17,26
4,Assam,8357,15634,40719,56448,121158
5,Bihar,12447,23082,55751,79469,170749
6,Chandigarh,369,734,2721,5753,9577
7,Chhattisgarh,1489,4215,22364,35115,63183
8,Delhi,12377,25816,62256,64382,164831
9,Goa,82,1096,5688,8637,15503
10,Gujarat,1120,9765,68998,83965,163848
11,Haryana,2982,8660,25864,27465,64971
12,Himachal Pradesh,181,327,1008,1003,2519
13,Jammu and Kashmir,74,1146,4689,8823,14732
14,Jharkhand,1516,3741,13682,19096,38035
15,Karnataka,9707,33307,95900,141057,279971
16,Kerala,1362,8743,39622,69624,119351
17,Ladakh,NA,6,40,28,74
18,Madhya Pradesh,3358,10427,36804,61678,112267
19,Maharashtra,7134,29914,136051,178488,351587
20,Manipur,104,114,341,386,945
21,Meghalaya,3,5,42,110,160
22,Mizoram,1,1,36,144,182
23,Nagaland,11,2,3,6,22
24,Odisha,904,5626,28446,39839,74815
25,Puducherry,88,405,1481,2405,4379
26,Punjab,832,4643,14053,23378,42906
27,Rajasthan,5604,23464,78238,86376,193682
28,Tamil Nadu,5697,30030,66953,84252,186932
29,Tripura,3421,2434,4179,5799,15833
30,Dadra and Nagar Haveli and Daman and Diu,24,29,141,142,336
31,Uttar Pradesh,31268,66705,162862,249223,510058
32,Uttarakhand,2395,5324,15561,15330,38610
33,West Bengal,10079,6408,11150,17699,45336
Grand Total,Grand Total,124681,331635,1025118,1395701,2877135
